596,1.5851,-41.2768,-0.0364,0
599,1.5851,-41.2892,-0.0334,0
602,1.5851,-41.3012,-0.0305,0
605,1.5851,-41.3055,-0.0295,0
608,1.5851,-41.3065,-0.0292,0
610,1.5851,-41.3075,-0.0290,0
613,1.5851,-41.3077,-0.0290,0
616,1.5851,-41.3079,-0.0289,0
619,1.5851,-41.3079,-0.0289,0
622,1.5851,-41.3080,-0.0289,0
625,1.5851,-41.3080,-0.0289,0
627,1.5851,-41.3080,-0.0289,0
630,1.5851,-41.3080,-0.0289,0
633,1.5851,-41.3080,-0.0289,0
636,1.5851,-41.3080,-0.0289,0
639,1.5851,-41.3080,-0.0289,0
641,1.5851,-41.3080,-0.0289,0
644,1.5851,-41.3080,-0.0289,0
647,1.5851,-41.3080,-0.0289,0
650,1.5851,-41.3080,-0.0289,0
653,1.5851,-41.3080,-0.0289,0
656,1.5851,-41.3080,-0.0289,0
658,1.5851,-41.3080,-0.0289,0
661,1.5851,-41.3080,-0.0289,0
664,1.5851,-41.3080,-0.0289,0
667,1.5851,-41.3080,-0.0289,0
670,1.5851,-41.3080,-0.0289,0
672,1.5851,-41.3080,-0.0289,0
675,1.5851,-41.3080,-0.0289,0
678,1.5851,-41.3080,-0.0289,0
681,1.5851,-41.3080,-0.0289,0
684,1.5851,-41.3080,-0.0289,0
687,1.5851,-41.3080,-0.0289,0
689,1.5851,-41.3080,-0.0289,0
692,1.5851,-41.3080,-0.0289,0
695,1.5851,-41.3080,-0.0289,0
698,1.5779,-41.0502,0.0794,0
701,1.5779,-40.8016,0.0196,0
703,1.5779,-40.7453,0.0060,0
706,1.5779,-40.6911,-0.0070,0
709,1.5779,-40.6788,-0.0100,0
712,1.5779,-40.6670,-0.0128,0
714,1.5779,-40.6643,-0.0135,0
717,1.5779,-40.6617,-0.0141,0
720,1.5779,-40.6608,-0.0143,0
723,1.5779,-40.6605,-0.0144,0
726,1.5779,-40.6603,-0.0144,0
729,1.5779,-40.6603,-0.0144,0
731,1.5779,-40.6602,-0.0144,0
734,1.5779,-40.6602,-0.0144,0
737,1.5779,-40.6602,-0.0144,0
740,1.5779,-40.6602,-0.0144,0
743,1.5779,-40.6602,-0.0144,0
745,1.5779,-40.6602,-0.0144,0
748,1.5779,-40.6602,-0.0144,0
751,1.5779,-40.6602,-0.0144,0
754,1.5779,-40.6602,-0.0144,0
757,1.5779,-40.6602,-0.0144,0
760,1.5779,-40.6602,-0.0144,0
762,1.5779,-40.6602,-0.0144,0
765,1.5779,-40.6602,-0.0144,0
768,1.5779,-40.6602,-0.0144,0
771,1.5779,-40.6602,-0.0144,0
774,1.5779,-40.6602,-0.0144,0
776,1.5779,-40.6602,-0.0144,0
779,1.5779,-40.6602,-0.0144,0
782,1.5779,-40.6602,-0.0144,0
785,1.5779,-40.6602,-0.0144,0
788,1.5779,-40.6602,-0.0144,0
790,1.5779,-40.6602,-0.0144,0
793,1.5779,-40.6602,-0.0144,0
796,1.5779,-40.6602,-0.0144,0
799,1.5779,-40.6602,-0.0144,0
802,1.5779,-40.6602,-0.0144,0
805,1.5779,-40.6602,-0.0144,0
807,1.5779,-40.6602,-0.0144,0
810,1.5779,-40.6602,-0.0144,0
813,1.5779,-40.6602,-0.0144,0
816,1.5779,-40.6602,-0.0144,0
819,1.5779,-40.6602,-0.0144,0
821,1.5779,-40.6602,-0.0144,0
824,1.5779,-40.6602,-0.0144,0
827,1.5779,-40.6602,-0.0144,0
830,1.5779,-40.6602,-0.0144,0
833,1.5779,-40.6602,-0.0144,0
836,1.5779,-40.6602,-0.0144,0
838,1.5779,-40.6602,-0.0144,0
841,1.5779,-40.6602,-0.0144,0
844,1.5779,-40.6602,-0.0144,0
847,1.5779,-40.6602,-0.0144,0
850,1.5779,-40.6602,-0.0144,0
852,1.5779,-40.6602,-0.0144,0
855,1.5779,-40.6602,-0.0144,0
858,1.5779,-40.6602,-0.0144,0
861,1.5779,-40.6602,-0.0144,0
864,1.5779,-40.6602,-0.0144,0
867,1.5779,-40.6602,-0.0144,0
869,1.5779,-40.6602,-0.0144,0
872,1.5779,-40.6602,-0.0144,0
875,1.5779,-40.6602,-0.0144,0
878,1.5779,-40.6602,-0.0144,0
881,1.5779,-40.6602,-0.0144,0
883,1.5779,-40.6602,-0.0144,0
886,1.5779,-40.6602,-0.0144,0
889,1.5779,-40.6602,-0.0144,0
892,1.5779,-40.6602,-0.0144,0
895,1.5779,-40.6602,-0.0144,0
898,1.5779,-40.6602,-0.0144,0
900,1.5779,-40.6602,-0.0144,0
