118580,1.5565,0.004�
659,1.3994,-0.0026,2256
661,1.3994,0.0063,0
663,1.3994,0.0139,0
665,1.3994,0.0139,0
667,1.3994,0.0204,2297
669,1.3994,0.0260,2310
671,1.3994,0.0260,2310
674,1.3994,0.0308,2321
676,1.4066,0.0084,2269
678,1.4066,0.0154,2285
680,1.4066,0.0154,2285
682,1.4137,-0.0052,2261
685,1.4137,0.0034,0
686,1.4137,0.0034,0
688,1.4137,0.0107,0
690,1.4137,0.0170,2289
692,1.4137,0.0170,2289
695,1.4137,0.0223,2301
697,1.4137,0.0269,2312
699,1.4209,0.0044,2260
701,1.4209,0.0044,2260
703,1.4209,0.0112,2275
705,1.4280,-0.0094,2271
708,1.4280,-0.0094,2271
710,1.4351,-0.0275,0
712,1.4351,-0.0168,2288
714,1.4351,-0.0076,2267
716,1.4351,-0.0076,2267
719,1.4280,0.0267,2311
721,1.4280,0.0299,0
723,1.4351,0.0063,2264
725,1.4351,0.0063,2264
727,1.4351,0.0121,2277
729,1.4351,0.0171,2289
731,1.4351,0.0171,2289
734,1.4423,-0.0051,2261
736,1.4494,-0.0245,0
738,1.4494,-0.0149,2284
740,1.4494,-0.0149,2284
742,1.4494,-0.0068,2265
745,1.4494,0.0002,2250
747,1.4423,0.0327,0
749,1.4423,0.0327,0
751,1.4423,0.0344,2329
753,1.4494,0.0094,2271
755,1.4494,0.0094,2271
757,1.4494,0.0141,2282
759,1.4566,-0.0084,2269
762,1.4566,-0.0084,2269
764,1.4566,-0.0015,0
766,1.4566,0.0044,2260
768,1.4566,0.0094,0
770,1.4566,0.0094,0
772,1.4566,0.0137,2281
774,1.4637,-0.0090,2270
776,1.4637,-0.0090,2270
778,1.4637,-0.0024,0
780,1.4637,0.0032,2257
783,1.4637,0.0032,2257
785,1.4566,0.0346,0
787,1.4566,0.0353,2331
789,1.4637,0.0094,2271
791,1.4637,0.0094,2271
793,1.4637,0.0134,2280
795,1.4637,0.0168,2288
797,1.4637,0.0168,2288
800,1.4708,-0.0068,2265
802,1.4708,-0.0008,0
804,1.4708,0.0042,2259
806,1.4708,0.0042,2259
808,1.4708,0.0086,0
810,1.4708,0.0123,2278
812,1.4708,0.0123,2278
814,1.4708,0.0155,2285
817,1.4708,0.0183,2292
819,1.4708,0.0206,2297
821,1.4708,0.0206,2297
823,1.4708,0.0226,2302
825,1.4780,-0.0021,2254
828,1.4780,-0.0021,2254
830,1.4780,0.0028,0
832,1.4851,-0.0195,0
834,1.4851,-0.0195,0
836,1.4851,-0.0124,0
838,1.4780,0.0201,2296
840,1.4780,0.0218,0
842,1.4780,0.0218,0
844,1.4780,0.0233,2303
846,1.4780,0.0246,2306
848,1.4780,0.0246,2306
850,1.4780,0.0257,2309
852,1.4851,0.0001,2250
855,1.4851,0.0001,2250
857,1.4851,0.0043,2260
859,1.4923,-0.0185,2292
861,1.4923,-0.0119,0
863,1.4923,-0.0119,0
865,1.4923,-0.0063,2264
867,1.4851,0.0250,2307
870,1.4851,0.0250,2307
872,1.4851,0.0256,0
874,1.4851,0.0262,2310
876,1.4851,0.0262,2310
878,1.4851,0.0267,2311
880,1.4851,0.0271,2312
882,1.4923,0.0010,2252
884,1.4923,0.0010,2252
887,1.4994,-0.0217,2300
889,1.4994,-0.0150,0
891,1.4994,-0.0093,2271
